freq,power
8207.5,0.000289228
8208,0.000211696
8208.5,0.000337964
8209,0.000133534
8209.5,0.000150872
8210,0.000227714
8210.5,0.000289159
8211,0.000266506
8211.5,0.000508759
8212,0.000635109
8212.5,0.000663165
8213,0.000983916
8213.5,0.000937763
8214,0.000677374
8214.5,0.000399012
8215,0.000508094
8215.5,0.000509832
8216,0.000223692
8216.5,0.000353047
8217,0.000807039
8217.5,0.000487397
8218,0.000439002
8218.5,0.001040508
8219,0.000825985
8219.5,0.000810775
8220,0.000431456
8220.5,0.000494352
8221,0.000768043
8221.5,0.000542481
8222,0.000655763
8222.5,0.001028843
8223,0.000783688
8223.5,0.000944917
8224,0.000592658
8224.5,0.000961722
8225,0.000736108
8225.5,0.001073354
8226,0.001358382
8226.5,0.000807826
8227,0.000804359
8227.5,0.001819864
8228,0.002838023
8228.5,0.003161594
8229,0.001022954
8229.5,0.001251026
8230,0.002421393
8230.5,0.004654819
8231,0.006132565
8231.5,0.006213536
8232,0.005268371
8232.5,0.002152163
8233,0.0044109
8233.5,0.007317772
8234,0.008213337
8234.5,0.008915921
8235,0.012983443
8235.5,0.018203505
8236,0.040105373
8236.5,0.041805324
8237,0.037383076
8237.5,0.051101418
8238,0.082335441
8238.5,0.168093845
8239,0.20872945
8239.5,0.195017047
8240,0.090553144
8240.5,0.050809826
8241,0.03553584
8241.5,0.018251929
8242,0.01440246
8242.5,0.017611521
8243,0.020676814
8243.5,0.015120393
8244,0.013919569
8244.5,0.010712355
8245,0.006764141
8245.5,0.003543146
8246,0.001705114
8246.5,0.002346127
8247,0.002694066
8247.5,0.002256979
8248,0.002933048
8248.5,0.002321109
8249,0.002235453
8249.5,0.002362814
8250,0.003354974
8250.5,0.002363096
8251,0.001290837
8251.5,0.001598414
8252,0.001018616
8252.5,0.000836358
8253,0.001744276
8253.5,0.001371556
8254,0.000934474
8254.5,0.000637233
8255,0.000615932
8255.5,0.00066183
8256,0.000998183
8256.5,0.000963288
8257,0.000927921
8257.5,0.000716161
8258,0.000445904
8258.5,0.000779467
8259,0.000560097
8259.5,0.000404626
8260,0.000504233
8260.5,0.000368161
8261,0.000220257
8261.5,0.000521005
8262,0.000682639
8262.5,0.000526875
8263,0.000584652
8263.5,0.000297024
8264,0.000387215
8264.5,0.000313604
8265,0.000174778
8265.5,0.000227666
8266,0.00029789
8266.5,0.000315193
8267,0.000127317
8267.5,0.000321792
8268,0.000571737
8268.5,0.000433115
8269,0.000214439
8269.5,0.000241146
8270,0.000467503
8270.5,0.000360365
8271,0.000118542
8271.5,0.000248934
8272,0.000296157
8272.5,0.000153234
8273,0.000174441
8273.5,0.000270032
8274,0.000192043
8274.5,0.000125837
8275,0.000161933
8275.5,0.000248428
8276,0.000117444
8276.5,3.16E-05
8277,5.53E-05
8277.5,0.000113196
8278,0.000250173
8278.5,0.000298537
8279,0.000145392
8279.5,9.36E-05
8280,0.000115526
8280.5,0.000127348
8281,0.000147513
8281.5,0.000183422
8282,0.000145097
8282.5,8.90E-05
8283,9.24E-05
8283.5,0.000140511
8284,0.000167291
8284.5,0.000163745
8285,0.000125019
8285.5,7.98E-05
8286,5.78E-05
8286.5,0.000115511
8287,9.85E-05
8287.5,5.70E-05
8288,5.02E-05
8288.5,5.01E-05
8289,0.000110943
8289.5,0.000135501
8290,0.000154037
8290.5,0.000199473
8291,0.000106292
8291.5,7.30E-05
8292,0.000109912
8292.5,0.00013618
8293,0.000125189
8293.5,0.000132645
8294,3.54E-05
8294.5,5.29E-05
8295,6.46E-05
8295.5,4.61E-05
8296,6.78E-05
8296.5,0.000100984
8297,0.000121204
8297.5,0.000101697
8298,6.59E-05
8298.5,6.43E-05
8299,5.51E-05
8299.5,7.79E-05
8300,7.82E-05
8300.5,4.94E-05
8301,2.38E-05
8301.5,3.40E-05
8302,5.83E-05
8302.5,4.11E-05
8303,5.01E-05
8303.5,7.93E-05
8304,7.66E-05
8304.5,4.68E-05
8305,5.35E-05
8305.5,5.92E-05
8306,6.34E-05
8306.5,5.31E-05
8307,8.81E-05
8307.5,6.88E-05
8308,5.01E-05
8308.5,3.88E-05
8309,7.29E-05
8309.5,7.21E-05
8310,6.47E-05
8310.5,6.03E-05
8311,4.87E-05
8311.5,4.03E-05
8312,3.45E-05
8312.5,2.87E-05
8313,3.83E-05
8313.5,4.47E-05
8314,5.71E-05
8314.5,5.33E-05
8315,1.85E-05
8315.5,2.93E-05
8316,4.80E-05
8316.5,7.43E-05
8317,4.83E-05
8317.5,3.54E-05
8318,5.08E-05
8318.5,5.94E-05
8319,5.70E-05
8319.5,6.04E-05
8320,5.05E-05
8320.5,4.95E-05
8321,6.13E-05
8321.5,5.75E-05
8322,4.75E-05
8322.5,5.54E-05
8323,3.41E-05
8323.5,1.88E-05
8324,3.53E-05
8324.5,5.59E-05
8325,5.99E-05
8325.5,2.27E-05
8326,2.11E-05
8326.5,3.52E-05
8327,1.79E-05
8327.5,2.19E-05
8328,1.81E-05
8328.5,3.51E-05
8329,3.23E-05
8329.5,4.14E-05
8330,3.83E-05
8330.5,3.84E-05
8331,1.73E-05
8331.5,1.49E-05
8332,3.57E-05
8332.5,4.68E-05
8333,6.71E-05
8333.5,5.54E-05
8334,3.53E-05
8334.5,2.44E-05
8335,3.96E-05
8335.5,4.46E-05
8336,3.99E-05
8336.5,2.65E-05
8337,2.53E-05
8337.5,5.18E-05
